cell_id,theory_id,theory,row_class,origin,domain_id,domain,prediction_id,code,polarity,relation,claim_text,source_label,source_doi,source_locus,evidence_status,confidence,provisional,legacy_code,first_coder_code_M4,superseded_by,flag_for_adjudication,legacy_justification,legacy_source_label,legacy_source_doi,note,coder,n_predictions,previous_code,previous_polarity,recode_note
SITxM6,SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,NOT_LOCATED,,,No dimensionality prediction.,Morsella 2005,10.1037/0033-295X.112.4.1000,abstract,abstract-only,2,False,NO,,,,No dimensionality prediction.,Morsella 2005,10.1037/0033-295x.112.4.1000,,author1,1,,,
SITxM7,SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M7,metacognitive sensitivity,,NOT_LOCATED,,,Integration is co-presence of contents; metarepresentational precision plays no role.,Morsella 2005,10.1037/0033-295X.112.4.1000,abstract,abstract-only,2,False,NO,,,,Integration is stated as co-presence of contents; metarepresentational precision plays no role.,Morsella 2005,10.1037/0033-295x.112.4.1000,,author1,1,,,
SITxM8,SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M8,cortical signature of access,,INTERPRETED,positive,marker,A candidate substrate (left postcentral cortex) is named for subjective conflict; no discriminating access signature is staked.,"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,abstract (fMRI of the urge to err during Stroop conflict),abstract-only,1,False,IMPLICIT,,,,"Subjective conflict from sustained incompatible intentions was associated with left postcentral (somatosensory) cortex; a candidate substrate is named, but no discriminating cortical access signature is staked.","Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,,author1,1,,,
SITxM4a,SIT,Supramodular interaction theory (SIT),trial-level,added-in-revision,M4a,access to interoceptive content as content,,INTERPRETED,positive,effect,"Bodily-need inclinations enter phenomenal states when they bear on skeletomotor action; interoceptive content is accessed as an inclination, not predicted to differ in access from exteroceptive content.","Morsella 2005; Morsella, Godwin, Jantz, Krieger & Gazzaley 2016 (BBS target article; cited as Morsella et al. 2015 in v1.3)",10.1037/0033-295X.112.4.1000; 10.1017/S0140525X15000643,"abstract (supramodular systems ""defined by their concerns (e.g., instrumental action vs. certain bodily needs)""); Morsella et al. 2016 BBS Section 3 (p. 6: the creature is conscious of ""the urge to eat"")",abstract-only,2,True,,IMPLICIT,,,,,,,author1,1,,,
SITxM4b,SIT,Supramodular interaction theory (SIT),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,Morsella 2005,10.1037/0033-295X.112.4.1000,no statement located,abstract-only,2,True,,NO,,,,,,,author1,1,,,
SITxM4c,SIT,Supramodular interaction theory (SIT),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,P18,EXPLICIT,stated_null,effect,Conflict within a smooth-muscle (autonomic) effector without a skeletomotor plan produces no experienced conflict.,"Morsella, Gray, Krieger & Bargh 2009; Morsella 2005",10.1037/a0017121; 10.1037/0033-295X.112.4.1000,"smooth-muscle comparison study (pupillary light reflex under conflict vs no conflict; n = 14; t(13) = 0.90, p = .385; Appendix II; authors call the support ""initial (but far from conclusive)""); Morsella 2005 abstract (impenetrable conflicts: pupillary reflex); Morsella et al. 2016 BBS Section 2.4 (p. 5)",full-text,3,True,,Y(neg),,,,,,"stated null for experienced conflict / exclusion from the field's function, not a denial of bodily feelings; stated null for experienced conflict / exclusion from the field's function, not a denial of bodily feelings | polarity 'null' restored from claim_text during integration (was blank)",author1,1,,,
UALxM1,UAL,UAL,origin-level,submitted-v1,M1,number of simultaneously competing action policies,,NOT_LOCATED,,,"The transition marker is a learning capacity, not an arbitration load.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I (hallmarks, Table 1, pp. 5-6) and Part II (predictions)",full-text,2,False,NO,,,,"The transition marker is a learning capacity, not an arbitration load.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,,author1,1,,,
UALxM2,UAL,UAL,origin-level,submitted-v1,M2,incompatibility of the competing policies,,NOT_LOCATED,,,No incompatibility term.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I (hallmarks, Table 1, pp. 5-6) and Part II (predictions)",full-text,2,False,NO,,,,No incompatibility term.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,,author1,1,,,
UALxM3,UAL,UAL,origin-level,submitted-v1,M3,valence,P22,EXPLICIT,positive,constitution,Valence is a constitutive hallmark of the UAL profile: learning must be reinforceable by positive and negative evaluation.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I, sixth hallmark (evaluative system), Table 1 (pp. 5-6); p. 9 (pattern associated with positive or negative valence)",full-text,3,False,YES,,,,Valence is one of the constitutive hallmarks of the UAL profile: learning must be reinforceable by positive and negative evaluation of stimuli.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,,author1,1,,,
UALxM5,UAL,UAL,origin-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,INTERPRETED,positive,marker,Global accessibility and integration across the organism are hallmarks but not operationalised as a cortical-autonomic measurement.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I, hallmarks 1-2 (global accessibility, binding/unification), Table 1",full-text,1,False,IMPLICIT,,,,"""Global accessibility"" and integration across the organism are hallmarks, but not operationalised as a joint cortical-autonomic measurement.","Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,,author1,1,,,
UALxM6,UAL,UAL,origin-level,submitted-v1,M6,dimensionality of phenomenal structure,,NOT_LOCATED,,,No dimensionality prediction.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I (hallmarks, Table 1, pp. 5-6) and Part II (predictions)",full-text,2,False,NO,,,,No dimensionality prediction.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,,author1,1,,,
UALxM7,UAL,UAL,origin-level,submitted-v1,M7,metacognitive sensitivity,,NOT_LOCATED,,,No metacognitive-precision prediction.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I (hallmarks, Table 1, pp. 5-6) and Part II (predictions)",full-text,2,False,NO,,,,No metacognitive-precision prediction.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,,author1,1,,,
UALxM8,UAL,UAL,origin-level,submitted-v1,M8,cortical signature of access,,NOT_APPLICABLE,,,Deliberately substrate-neutral and comparative; no cortical signature.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,"Part I (the marker is characterised in neural, cognitive, behavioural and phenomenological terms across taxa)",full-text,2,False,NO,,,,Deliberately substrate-neutral and comparative; no cortical signature.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,,author1,1,,,
UALxM4a,UAL,UAL,origin-level,added-in-revision,M4a,access to interoceptive content as content,,INTERPRETED,positive,marker,Embodiment is a hallmark; interoceptive content as content is not separately addressed.,"Birch, Ginsburg & Jablonka 2020; Ginsburg & Jablonka 2019 (The Evolution of the Sensitive Soul, MIT Press)",10.1007/s10539-020-09772-0; 10.7551/mitpress/11006.001.0001,"Part I, seventh hallmark (agency and embodiment), Table 1 (p. 6); no interoceptive statement located",full-text,1,True,,IMPLICIT,,,,,,,author1,1,,,
UALxM4b,UAL,UAL,origin-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,NOT_LOCATED,,,No statement located on visceral modulation of access to exteroceptive content.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
UALxM4c,UAL,UAL,origin-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,NOT_LOCATED,,,No statement located on conscious involvement in purely autonomic conflict.,"Birch, Ginsburg & Jablonka 2020",10.1007/s10539-020-09772-0,no statement located,full-text,2,True,,NO,,,,,,,author1,1,,,
